Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Luxembourg,2022,406.76823722453,45310.0,46.0,71.5,2.3,39.7,0.918810662330444
Hungary,2022,510.0021299835189,6975.0,25.5,75.4,2.3,43.9,0.7255199808193425
Malta,2022,378.6002376127988,18155.0,29.4,72.9,2.4,40.5,0.948749136247842
Austria,2022,496.34750425134223,27844.0,32.5,73.4,2.2,43.6,0.59255997472199
Poland,2022,377.1987571293834,8946.0,30.0,70.3,2.9,42.2,0.601340012393219
Portugal,2022,510.80887010480734,11014.0,26.8,74.3,2.5,46.7,0.67381003340729
Romania,2022,236.2110347641625,5512.0,17.1,59.1,2.5,43.5,0.5448900139649223
Slovenia,2022,307.4649531601476,16544.0,35.1,74.3,2.4,44.7,0.5575098509175723
Slovakia,2022,477.9382973743595,8819.0,26.0,72.6,3.1,41.8,0.5390899658158178
Finland,2022,301.9881436296657,26541.0,35.9,77.8,1.9,43.4,0.8568099672684429
Sweden,2022,410.81583180624096,26738.0,41.1,79.1,2.0,40.7,0.8849200162373375
Norway,2022,412.2040009068673,39206.0,41.1,78.0,2.0,40.4,0.8366400488755346
Türkiye,2022,316.6032542195512,2804.0,21.0,37.0,3.2,32.9,0.7702200048145496
